date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:17	97162/97162	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:45:10%20GMT	https://kelhome.in/assets/js/vendor/jquery-1.12.4.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/vendor/jquery-1.12.4.min.js	(from https://kelhome.in/)
11:46:17	232245/232245	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Apr%202023%2007:44:36%20GMT	https://kelhome.in/assets/img/product/Smart%20LED%20TV.png	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/img/product/Smart%20LED%20TV.png	(from https://kelhome.in/)
11:46:17	161140/161140	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Apr%202023%2007:44:54%20GMT	https://kelhome.in/assets/img/product/Trolley%20Speaker.png	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/img/product/Trolley%20Speaker.png	(from https://kelhome.in/)
11:46:17	80447/80447	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:04%20GMT	https://kelhome.in/assets/js/bootstrap.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/bootstrap.min.js	(from https://kelhome.in/)
11:46:18	35445/35445	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:07%20GMT	https://kelhome.in/assets/js/isotope.pkgd.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/isotope.pkgd.min.js	(from https://kelhome.in/)
11:46:18	5594/5594	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:06%20GMT	https://kelhome.in/assets/js/imagesloaded.pkgd.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/imagesloaded.pkgd.min.js	(from https://kelhome.in/)
11:46:18	1067/1067	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:06%20GMT	https://kelhome.in/assets/js/jquery.counterup.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/jquery.counterup.min.js	(from https://kelhome.in/)
11:46:19	9028/9028	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:23%20GMT	https://kelhome.in/assets/js/waypoints.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/waypoints.min.js	(from https://kelhome.in/)
11:46:19	38850/38850	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:19%20GMT	https://kelhome.in/assets/js/tippy.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/tippy.min.js	(from https://kelhome.in/)
11:46:20	1201/1201	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:03%20GMT	https://kelhome.in/assets/js/ajax-mail.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/ajax-mail.js	(from https://kelhome.in/)
11:46:20	42766/42766	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:10%20GMT	https://kelhome.in/assets/js/owl.carousel.min.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/owl.carousel.min.js	(from https://kelhome.in/)
11:46:22	18182/18182	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:06%20GMT	https://kelhome.in/assets/js/main.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/main.js	(from https://kelhome.in/)
11:46:22	678/678	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202023%2007:39:23%20GMT	https://kelhome.in/assets/css/owl.video.play.html	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/css/owl.video.play.html	(from https://kelhome.in/assets/css/owl.carousel.min.css)
11:46:22	365606/365606	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202023%2007:42:19%20GMT	https://kelhome.in/assets/js/plugins.js	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/js/plugins.js	(from https://kelhome.in/)
11:46:23	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2007:41:46%20GMT	https://kelhome.in/assets/fonts/themify9f24.eot?-fvbane	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/themify9f249f24.eot	(from https://kelhome.in/assets/css/themify-icons.css)
11:46:24	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Sat,%2028%20Aug%202021%2019:10:45%20GMT	https://kelhome.in/fonts/themifyd41d.html?	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/fonts/themifyd41d.3bd41d.delayed	(from https://kelhome.in/assets/css/themify-icons.css)
11:46:24	56108/56108	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2007:41:51%20GMT	https://kelhome.in/assets/fonts/themify9f24.woff?-fvbane	C:/Users/ashna/OneDrive/Desktop/Personal/completeTemplate/kelhome.in/assets/fonts/themify9f249f24.woff	(from https://kelhome.in/assets/css/themify-icons.css)
